name,region,tags,thumb,url,idx
그래비티 서울 판교,경기 성남시,그래비티|메리어트|호텔웨딩|소규모웨딩|컨벤션웨딩|동시예식|프라이빗웨딩|양식코스|한정식코스|판교웨딩홀|호텔웨딩홀|성남호텔|성남웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2407/20240712051108_614103_그래비티서울판교호텔.jpg,https://weddingcrowd.kr/hall/view.php?idx=1488,1488
그랜드 인터콘티넨탈 서울 파르나스,서울 강남구,그랜드인터콘티넨탈서울파르나스|호텔웨딩홀|그랜드볼룸|스몰웨딩|테라스웨딩|세련된웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210423143119_파르나스.jpg,https://weddingcrowd.kr/hall/view.php?idx=600,600
그랜드 하얏트 인천,인천 중구,그랜드하얏트인천|인천인기웨딩홀|호텔웨딩홀|소규모웨딩|하우스웨딩홀|영종도웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210423101603_하얏트인천.jpg,https://weddingcrowd.kr/hall/view.php?idx=925,925
그랜드앰배서더 서울(구.소피텔앰배서더),서울특별시 중구,그랜드앰배서더서울|서울호텔웨딩홀|중구인기웨딩홀|호텔웨딩|대규모웨딩홀|소규모웨딩홀|하우스웨딩홀|결혼준비,"https://weddingcrowd.kr/data/hall/2406/20210422180018_그랜드앰배서더 서울_구,소피텔앰배서더.jpg",https://weddingcrowd.kr/hall/view.php?idx=322,322
그랜드오스티엄,인천 남구,그랜드오스티엄|인천문학경기장웨딩홀|인천인기웨딩홀|추천웨딩홀|인천웨딩홀|컨벤션웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422164836_그랜.jpg,https://weddingcrowd.kr/hall/view.php?idx=1257,1257
그랜드컨벤션센터,서울 영등포구,그랜드컨벤션센터|영등포인기웨딩홀|컨벤션웨딩홀|서울웨딩홀|어두운웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2510/20251017103235_691985_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=628,628
그랜드하얏트 서울,서울 용산구,그랜드하얏트서울|호텔웨딩홀|용산인기웨딩홀|서울추천웨딩홀|추천웨딩홀|대규모웨딩홀|소규모웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422095037_그랜드하얏트 서울.jpg,https://weddingcrowd.kr/hall/view.php?idx=15,15
그랜드호텔 웨딩의전당,인천 중구,그랜드호텔웨딩의전당|호텔웨딩홀|인천추천웨딩홀|호텔예식전문웨딩홀|중구웨딩홀|럭셔리웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422180237_그랜드호텔 웨딩의전당.jpg,https://weddingcrowd.kr/hall/view.php?idx=323,323
그랜드힐컨벤션,서울특별시 강남구,그랜드힐컨벤션|컨벤션|강남구웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422125810_그랜드힐컨벤션.jpg,https://weddingcrowd.kr/hall/view.php?idx=144,144
그레이스파티,서울 관악구,,https://weddingcrowd.kr/data/hall/2501/20250115051324_755216_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1744,1744
